system,body,is star,type,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Prua Phoe ZM-G b58-167,Prua Phoe ZM-G b58-167 A,Star,M,2217.0,270427392.0,11.042877,0.230469,M,Va
Prua Phoe ZM-G b58-167,Prua Phoe ZM-G b58-167 B,Star,L,1653.0,190196992.0,13.082581,0.128906,L,V
Clooku JW-C d1653,Clooku JW-C d1653,Star,F,6181.0,797974080.0,4.238602,1.171875,F,Vb
Clooku NC-B d1-932,Clooku NC-B d1-932,Star,A,7765.0,915411968.0,2.949326,1.699219,A,VI
Clooku NC-B d1-932,Clooku NC-B d1-932 3,Star,T,777.0,94960536.0,18.00029,0.039063,T,V
Clooku VK-V a15-3,Clooku VK-V a15-3,Star,T,1243.0,166509920.0,14.609772,0.09375,T,V
Clooku EW-Y c3-197,Clooku EW-Y c3-197,Star,G,5672.0,627792320.0,5.13295,0.882813,G,Vab
HIP 17862,HIP 17862 6,Star,Y,490.0,62486324.0,20.883163,0.019531,Y,NA
Pyrie Thua MI-B d13-2,Pyrie Thua MI-B d13-2,Star,G,5634.0,711864448.0,4.889114,0.988281,G4,Vab
Pyrie Thua XH-F b52-0,Pyrie Thua XH-F b52-0,Star,M,3009.0,390900352.0,8.915726,0.351563,M4,Va
Eishav HB-M c24-0,Eishav HB-M c24-0 A,Star,K,4190.0,419787552.0,7.322617,0.527344,K6,Vab
Eishav HB-M c24-0,Eishav HB-M c24-0 B,Star,M,3163.0,370651712.0,8.814438,0.398438,M3,Va
Pyrie Thua AX-P b46-0,Pyrie Thua AX-P b46-0,Star,M,2099.0,257140560.0,11.389893,0.230469,M9,VI
Pyrie Thua FM-L c21-1,Pyrie Thua FM-L c21-1 A,Star,K,4007.0,497534624.0,7.147537,0.546875,K7,Va
Pyrie Thua FM-L c21-1,Pyrie Thua FM-L c21-1 B,Star,L,1747.0,193253392.0,12.807678,0.152344,L3,V
Pyrie Thua WJ-I d9-1,Pyrie Thua WJ-I d9-1,Star,F,7243.0,745293760.0,3.698181,1.273438,F1,VI
Pyrie Thua ST-Q c18-0,Pyrie Thua ST-Q c18-0 A,Star,K,4903.0,605909376.0,5.842896,0.765625,K1,Vab
Pyrie Thua ST-Q c18-0,Pyrie Thua ST-Q c18-0 B,Star,M,3233.0,342401280.0,8.891525,0.347656,M2,Va
Pyrie Thua RD-K d8-2,Pyrie Thua RD-K d8-2 A,Star,F,6802.0,815314944.0,3.776016,1.257813,F4,Vb
Pyrie Thua RD-K d8-2,Pyrie Thua RD-K d8-2 B,Star,M,3216.0,463213824.0,8.258057,0.460938,M2,Va
Pyrie Thua ZZ-X c14-0,Pyrie Thua ZZ-X c14-0,Star,K,4504.0,599117376.0,6.23613,0.824219,K4,Va
Pyrie Thua WT-Z c13-0,Pyrie Thua WT-Z c13-0,Star,M,3645.0,408877888.0,7.985123,0.457031,M0,Va
Pyrie Thua NH-D c12-0,Pyrie Thua NH-D c12-0 A,Star,K,3988.0,483483680.0,7.230453,0.640625,K8,Va
Pyrie Thua NH-D c12-0,Pyrie Thua NH-D c12-0 B,Star,M,3401.0,419936128.0,8.228134,0.417969,M1,Va
Pyrie Thua JB-F c11-0,Pyrie Thua JB-F c11-0,Star,K,4461.0,518313888.0,6.592453,0.621094,K4,Vab
Pyrie Thua DK-I c9-0,Pyrie Thua DK-I c9-0,Star,K,4913.0,519778400.0,6.167068,0.707031,K1,Vab
Pyrie Thua XI-K c8-0,Pyrie Thua XI-K c8-0,Star,K,3737.0,462110144.0,7.611008,0.476563,K9,Va
Pyrie Thua TS-U d2-2,Pyrie Thua TS-U d2-2 A,Star,F,6827.0,894993472.0,3.557571,1.511719,F4,Vb
Pyrie Thua TS-U d2-2,Pyrie Thua TS-U d2-2 B,Star,M,2702.0,355115040.0,9.591766,0.320313,M5,Va
Pyrie Thua TS-U d2-5,Pyrie Thua TS-U d2-5,Star,F,7134.0,1007931456.0,3.108383,1.597656,F2,Vab
Pyrie Thua EZ-S c3-1,Pyrie Thua EZ-S c3-1 A,Star,K,3752.0,449269024.0,7.654816,0.503906,K9,Va
Pyrie Thua EZ-S c3-1,Pyrie Thua EZ-S c3-1 C,Star,L,1670.0,200384976.0,12.924789,0.160156,L4,V
Pyrie Thua EZ-S c3-1,Pyrie Thua EZ-S c3-1 D,Star,T,1178.0,135457776.0,15.291367,0.074219,T2,V
Pyrie Thua EZ-S c3-1,Pyrie Thua EZ-S c3-1 B,Star,M,2536.0,264845232.0,10.504196,0.25,M6,Va
Pyrie Thua YX-U c2-0,Pyrie Thua YX-U c2-0,Star,K,4154.0,523832384.0,6.879166,0.554688,K6,Va
Pyrie Thua SW-W c1-0,Pyrie Thua SW-W c1-0 A,Star,K,4815.0,666145792.0,5.715729,0.84375,K2,Va
Pyrie Thua SW-W c1-0,Pyrie Thua SW-W c1-0 B,Star,M,3026.0,427916704.0,8.694748,0.425781,M3,Va
Pyrie Thua LF-A c0,Pyrie Thua LF-A c0 A,Star,K,4562.0,490700192.0,6.614105,0.601563,K4,Vab
Pyrie Thua LF-A c0,Pyrie Thua LF-A c0 C,Star,L,1464.0,168441392.0,13.87384,0.101563,L7,V
Pyrie Thua LF-A c0,Pyrie Thua LF-A c0 B,Star,M,2323.0,307146592.0,10.563446,0.265625,M8,Va
Slaiya CI-Z c27-0,Slaiya CI-Z c27-0,Star,K,4329.0,459414592.0,6.98494,0.5625,K5,Vab
Slaiya YB-B c27-0,Slaiya YB-B c27-0,Star,K,3754.0,528820224.0,7.298401,0.5625,K9,Va
Slaiya QP-E c25-0,Slaiya QP-E c25-0 A,Star,K,4702.0,654514560.0,5.857132,0.785156,K3,Va
Slaiya GC-D d12-5,Slaiya GC-D d12-5,Star,G,5910.0,815739456.0,4.385529,1.242188,G1,Vab
Slaiya DX-J c22-0,Slaiya DX-J c22-0 A,Star,K,3827.0,499933056.0,7.336761,0.5625,K9,Va
Slaiya DX-J c22-0,Slaiya DX-J c22-0 B,Star,M,2627.0,344460096.0,9.780212,0.285156,M6,Va
Slaiya VK-N c20-0,Slaiya VK-N c20-0 A,Star,K,4484.0,503753568.0,6.631989,0.671875,K4,Vab
Slaiya UJ-I d9-1,Slaiya UJ-I d9-1,Star,F,6965.0,726636992.0,3.923264,1.210938,F3,VI
Slaiya YQ-J b36-0,Slaiya YQ-J b36-0,Star,M,2709.0,363965856.0,9.527023,0.3125,M5,Va
Slaiya NX-L d7-2,Slaiya NX-L d7-2,Star,F,7001.0,759238592.0,3.805527,1.28125,F3,VI
Slaiya ZU-X c14-0,Slaiya ZU-X c14-0 A,Star,K,4479.0,592240448.0,6.28537,0.703125,K4,Va
Slaiya ZU-X c14-0,Slaiya ZU-X c14-0 B,Star,M,2342.0,303113856.0,10.556778,0.242188,M7,Va
Cheia Eohn EN-Q d6-3,Cheia Eohn EN-Q d6-3,Star,F,7063.0,870542336.0,3.470123,1.433594,F2,Vb
Slaiya YE-G b24-0,Slaiya YE-G b24-0,Star,M,3032.0,392067712.0,8.87619,0.34375,M3,Va
Slaiya FL-N b20-0,Slaiya FL-N b20-0,Star,M,2615.0,357004064.0,9.722397,0.304688,M6,Va
Slaiya WN-S b17-0,Slaiya WN-S b17-0 A,Star,M,2520.0,263380720.0,10.543732,0.238281,M6,Va
Slaiya WN-S b17-0,Slaiya WN-S b17-0 B,Star,L,1910.0,232965328.0,12.014282,0.175781,L1,V
Slaiya FP-Z b13-0,Slaiya FP-Z b13-0,Star,M,2771.0,322004064.0,9.694778,0.277344,M5,Va
Slaiya TW-E b11-0,Slaiya TW-E b11-0 A,Star,M,3565.0,429720832.0,7.973526,0.4375,M0,Va
Slaiya TW-E b11-0,Slaiya TW-E b11-0 B,Star,T,1203.0,146855600.0,15.024658,0.09375,T1,V
Slaiya DY-L b7-0,Slaiya DY-L b7-0,Star,M,2427.0,333019840.0,10.19754,0.28125,M7,Va
Slaiya TM-W c1-1,Slaiya TM-W c1-1,Star,K,4918.0,606991808.0,5.825745,0.824219,K1,Vab
Slaiya CS-W b1-0,Slaiya CS-W b1-0,Star,M,2167.0,270278848.0,11.143173,0.222656,M9,VI
Proyua HX-U b57-0,Proyua HX-U b57-0 A,Star,M,2678.0,359147776.0,9.605988,0.355469,M6,Va
Proyua HX-U b57-0,Proyua HX-U b57-0 B,Star,M,2396.0,295005920.0,10.516632,0.238281,M7,Va
Proyua SY-B b54-0,Proyua SY-B b54-0 A,Star,M,3001.0,362713568.0,9.089844,0.351563,M4,Va
Proyua SY-B b54-0,Proyua SY-B b54-0 B,Star,L,1942.0,244554144.0,11.83667,0.179688,L0,V
Proyua HG-H b51-0,Proyua HG-H b51-0,Star,M,2634.0,284393440.0,10.184814,0.265625,M6,Va
Proyua BW-E d11-12,Proyua BW-E d11-12 A,Star,K,4937.0,736273152.0,5.389572,0.878906,K1,Va
Proyua BW-E d11-12,Proyua BW-E d11-12 C,Star,K,4206.0,457567968.0,7.118896,0.585938,K6,Va
Proyua BW-E d11-12,Proyua BW-E d11-12 B,Star,K,3795.0,481170176.0,7.456329,0.546875,K9,Va
Proyua FP-T b44-0,Proyua FP-T b44-0,Star,M,2114.0,245679072.0,11.458023,0.203125,M9,VI
Proyua VF-N c20-4,Proyua VF-N c20-4,Star,K,5182.0,663811072.0,5.404266,0.828125,K0,Va
Proyua ET-F b38-0,Proyua ET-F b38-0 A,Star,M,3521.0,447464896.0,7.939606,0.425781,M1,Va
Proyua ET-F b38-0,Proyua ET-F b38-0 C,Star,T,980.0,118350456.0,16.383972,0.054688,T5,V
Proyua ET-F b38-0,Proyua ET-F b38-0 B,Star,L,1976.0,243917424.0,11.766922,0.179688,L0,V
Gria Byoe QF-L d9-13,Gria Byoe QF-L d9-13 A,Star,N,6752560.0,11960.9375,4.724121,0.589844,N0,VII
Gria Byoe ZG-S d5-25,Gria Byoe ZG-S d5-25,Star,K,4444.0,558768640.0,6.445816,0.617188,K5,Va
Gria Byoe RF-X b21-0,Gria Byoe RF-X b21-0 A,Star,M,2313.0,289614784.0,10.709854,0.238281,M8,Va
Gria Byoe RF-X b21-0,Gria Byoe RF-X b21-0 B,Star,L,1366.0,159420784.0,14.294357,0.105469,L9,V
Gria Byoe RF-X b21-0,Gria Byoe RF-X b21-0 C,Star,T,1146.0,121003584.0,15.656082,0.070313,T2,V
Gria Byoe EN-C b19-1,Gria Byoe EN-C b19-1,Star,M,2712.0,309587488.0,9.873703,0.296875,M5,Va
Gria Byoe PO-J b15-0,Gria Byoe PO-J b15-0 A,Star,M,3236.0,401725088.0,8.540466,0.441406,M2,Va
Gria Byoe PO-J b15-0,Gria Byoe PO-J b15-0 B,Star,T,1055.0,140297072.0,15.694168,0.074219,T4,V
Gria Byoe BW-O b12-1,Gria Byoe BW-O b12-1 A,Star,M,3330.0,393893088.0,8.458847,0.367188,M2,Va
Gria Byoe OS-V b8-2,Gria Byoe OS-V b8-2 A,Star,M,3283.0,410172640.0,8.432632,0.386719,M2,Va
Gria Byoe OS-V b8-2,Gria Byoe OS-V b8-2 B,Star,M,2365.0,313832480.0,10.438843,0.246094,M7,Va
Gria Byoe ZE-B b6-1,Gria Byoe ZE-B b6-1,Star,M,2701.0,336712992.0,9.708939,0.324219,M5,Va
Gria Byoe IG-I b2-4,Gria Byoe IG-I b2-4,Star,M,2224.0,251367376.0,11.187973,0.214844,M8,Va
Blu Briae LY-S b58-5,Blu Briae LY-S b58-5 A,Star,M,3152.0,375533472.0,8.801163,0.359375,M3,Va
Blu Briae LY-S b58-5,Blu Briae LY-S b58-5 B,Star,M,2158.0,248332192.0,11.34523,0.199219,M9,VI
Blu Briae VZ-Z b54-4,Blu Briae VZ-Z b54-4,Star,M,2406.0,292225472.0,10.519119,0.234375,M7,Va
Blu Briae FB-H b51-6,Blu Briae FB-H b51-6 A,Star,M,2099.0,263805200.0,11.33432,0.207031,M9,VI
Blu Briae FB-H b51-6,Blu Briae FB-H b51-6 B,Star,T,1243.0,130979312.0,15.131058,0.078125,T0,V
Blu Briae TI-M b48-1,Blu Briae TI-M b48-1,Star,M,2555.0,304684480.0,10.167419,0.246094,M6,Va
Blu Briae CK-T b44-4,Blu Briae CK-T b44-4,Star,M,2485.0,281421952.0,10.460587,0.25,M7,Va
Blu Briae WP-G d10-31,Blu Briae WP-G d10-31,Star,G,5993.0,728271296.0,4.571304,0.949219,G0,Vab
Nyauthi OF-L d9-9,Nyauthi OF-L d9-9 A,Star,K,5110.0,606546112.0,5.660995,0.867188,K0,Vab
Nyauthi OF-L d9-9,Nyauthi OF-L d9-9 B,Star,K,3715.0,492589184.0,7.497955,0.53125,K9,Va
Nyauthi SD-A c17-12,Nyauthi SD-A c17-12 A,Star,K,3922.0,517613472.0,7.15477,0.539063,K8,Va
Nyauthi SD-A c17-12,Nyauthi SD-A c17-12 B,Star,L,1704.0,209702736.0,12.738541,0.148438,L4,V
Nyauthi LR-D c15-2,Nyauthi LR-D c15-2 A,Star,K,3875.0,532683168.0,7.144806,0.609375,K8,Va
Nyauthi LR-D c15-2,Nyauthi LR-D c15-2 B,Star,M,2813.0,324402496.0,9.613342,0.277344,M5,Va
Blu Briae QO-Z c13-8,Blu Briae QO-Z c13-8 A,Star,K,3964.0,506682592.0,7.154861,0.539063,K8,Va
Blu Briae QO-Z c13-8,Blu Briae QO-Z c13-8 B,Star,L,1967.0,240287920.0,11.819305,0.164063,L0,V
Blu Briae QO-Z c13-8,Blu Briae QO-Z c13-8 C,Star,L,1335.0,178820400.0,14.144684,0.101563,L9,V
Blu Briae RE-G b24-8,Blu Briae RE-G b24-8 A,Star,M,3157.0,377252704.0,8.784363,0.359375,M3,Va
Blu Briae RE-G b24-8,Blu Briae RE-G b24-8 B,Star,T,1011.0,126628200.0,16.101868,0.0625,T4,V
Blu Briae AQ-G c10-16,Blu Briae AQ-G c10-16 A,Star,K,4677.0,624566080.0,5.98204,0.769531,K3,Va
Blu Briae AQ-G c10-16,Blu Briae AQ-G c10-16 B,Star,M,3467.0,412146560.0,8.185333,0.464844,M1,Va
Blu Briae AQ-G c10-16,Blu Briae AQ-G c10-16 C,Star,M,2246.0,328838528.0,10.561676,0.261719,M8,Va
Blu Briae AQ-G c10-16,Blu Briae AQ-G c10-16 D,Star,L,1701.0,217004128.0,12.67186,0.148438,L4,V
Blu Briae ON-S b17-0,Blu Briae ON-S b17-0,Star,M,2581.0,344629920.0,9.85585,0.28125,M6,Va
Blu Briae QS-U d2-153,Blu Briae QS-U d2-153 A,Star,K,4568.0,586785664.0,6.220016,0.726563,K4,Va
Blu Briae QS-U d2-153,Blu Briae QS-U d2-153 C,Star,K,4336.0,564393280.0,6.53093,0.648438,K5,Va
Blu Briae QS-U d2-153,Blu Briae QS-U d2-153 B,Star,M,2417.0,296894944.0,10.464874,0.222656,M7,Va
Blu Briae MW-E b11-3,Blu Briae MW-E b11-3,Star,M,3105.0,370142304.0,8.897812,0.367188,M3,Va
Blu Briae VX-L b7-3,Blu Briae VX-L b7-3 A,Star,M,2922.0,347176896.0,9.300812,0.375,M4,Va
Blu Briae FZ-S b3-6,Blu Briae FZ-S b3-6 A,Star,M,2328.0,291418880.0,10.668274,0.265625,M8,Va
Blu Briae FZ-S b3-6,Blu Briae FZ-S b3-6 B,Star,L,1775.0,218914384.0,12.467834,0.144531,L3,V
Nyauthi SO-U a2-0,Nyauthi SO-U a2-0 A,Star,M,2049.0,257925888.0,11.487991,0.191406,M9,VI
Nyauthi SO-U a2-0,Nyauthi SO-U a2-0 B,Star,T,928.0,113235232.0,16.716782,0.058594,T6,V
Byeia Chrea XC-Z c27-0,Byeia Chrea XC-Z c27-0 A,Star,K,4994.0,586509696.0,5.83371,0.683594,K1,Vab
Byeia Chrea XC-Z c27-0,Byeia Chrea XC-Z c27-0 B,Star,M,3594.0,521985824.0,7.515884,0.554688,M0,Va
Byeia Chrea IN-D b53-2,Byeia Chrea IN-D b53-2,Star,M,3021.0,403720224.0,8.828339,0.410156,M3,Va
Byeia Chrea WU-I b50-11,Byeia Chrea WU-I b50-11,Star,M,2871.0,383832416.0,9.159302,0.363281,M4,Va
Byeia Chrea GW-P b46-2,Byeia Chrea GW-P b46-2 A,Star,M,2885.0,320942816.0,9.52684,0.285156,M4,Va
Byeia Chrea GW-P b46-2,Byeia Chrea GW-P b46-2 C,Star,L,1838.0,222713664.0,12.278931,0.160156,L2,V
Byeia Chrea GW-P b46-2,Byeia Chrea GW-P b46-2 B,Star,L,1420.0,179690624.0,13.866013,0.125,L8,V
Byeia Chrea PX-W b42-6,Byeia Chrea PX-W b42-6 A,Star,M,2802.0,361355200.0,9.396042,0.363281,M5,Va
Byeia Chrea PX-W b42-6,Byeia Chrea PX-W b42-6 B,Star,M,3042.0,338793024.0,9.179092,0.332031,M3,Va
Byeia Chrea PX-W b42-6,Byeia Chrea PX-W b42-6 C,Star,M,2259.0,241243056.0,11.209427,0.203125,M8,Va
Byeia Chrea MZ-O c19-12,Byeia Chrea MZ-O c19-12,Star,K,3785.0,428808160.0,7.718033,0.484375,K9,Va
Byeia Chrea EN-S c17-12,Byeia Chrea EN-S c17-12 A,Star,K,3823.0,462004000.0,7.512665,0.496094,K9,Va
Byeia Chrea EN-S c17-12,Byeia Chrea EN-S c17-12 C,Star,M,2885.0,342125376.0,9.388,0.320313,M4,Va
Byeia Chrea EN-S c17-12,Byeia Chrea EN-S c17-12 B,Star,M,2054.0,268262464.0,11.392075,0.207031,M9,VI
Byeia Chrea VM-Q b32-1,Byeia Chrea VM-Q b32-1,Star,M,3273.0,389711776.0,8.557022,0.390625,M2,Va
Byeia Chrea FO-X b28-9,Byeia Chrea FO-X b28-9,Star,M,2524.0,321176320.0,10.105972,0.269531,M6,Va
Byeia Chrea KI-B c13-13,Byeia Chrea KI-B c13-13 A,Star,K,3794.0,454638944.0,7.580658,0.570313,K9,Va
Byeia Chrea KI-B c13-13,Byeia Chrea KI-B c13-13 B,Star,L,1761.0,202273984.0,12.67392,0.152344,L3,V
Byeia Chrea BL-P d5-110,Byeia Chrea BL-P d5-110,Star,G,5489.0,664660096.0,5.151459,0.953125,G6,Vab
Byeia Chrea PT-Q b18-13,Byeia Chrea PT-Q b18-13 A,Star,M,3152.0,408729312.0,8.617172,0.367188,M3,Va
Byeia Chrea PT-Q b18-13,Byeia Chrea PT-Q b18-13 B,Star,L,1914.0,237592368.0,11.962494,0.195313,L1,V
Byeia Chrea TY-S d3-85,Byeia Chrea TY-S d3-85 A,Star,M,3698.0,504814816.0,7.4646,0.546875,M0,Va
Byeia Chrea TY-S d3-85,Byeia Chrea TY-S d3-85 B,Star,M,3372.0,386952480.0,8.442993,0.457031,M1,Va
Byeia Chrea EL-P c5-37,Byeia Chrea EL-P c5-37 A,Star,K,4560.0,603150080.0,6.167831,0.796875,K4,Va
Byeia Chrea EL-P c5-37,Byeia Chrea EL-P c5-37 B,Star,M,2977.0,350169600.0,9.201157,0.308594,M4,Va
Byeia Chrea KM-W d1-117,Byeia Chrea KM-W d1-117,Star,M,2318.0,266628128.0,10.880081,0.226563,M8,Va
Byeia Chrea GG-Y d90,Byeia Chrea GG-Y d90 A,Star,K,3856.0,415563776.0,7.70546,0.5,K8,Va
Byeia Chrea GG-Y d90,Byeia Chrea GG-Y d90 B,Star,L,1342.0,196097536.0,13.921631,0.113281,L9,V
Byeia Chrea SM-W b1-3,Byeia Chrea SM-W b1-3,Star,M,3233.0,363711168.0,8.760406,0.367188,M2,Va
Truechou YR-U b57-3,Truechou YR-U b57-3,Star,M,3132.0,366703904.0,8.880463,0.398438,M3,Va
Truechou MZ-Z b54-22,Truechou MZ-Z b54-22,Star,M,2598.0,318905248.0,9.99585,0.304688,M6,Va
Truechou UF-H b51-0,Truechou UF-H b51-0 C,Star,M,2276.0,252895568.0,11.074402,0.230469,M8,Va
Truechou UF-H b51-0,Truechou UF-H b51-0 B,Star,M,3348.0,398095616.0,8.412384,0.382813,M2,Va
Truechou UF-H b51-0,Truechou UF-H b51-0 A,Star,M,3568.0,400727520.0,8.121597,0.433594,M0,Va
Truechou UF-H b51-0,Truechou UF-H b51-0 D,Star,M,2934.0,351061088.0,9.25885,0.347656,M4,Va
Truechou EH-O b47-3,Truechou EH-O b47-3 A,Star,M,2883.0,309629920.0,9.607773,0.285156,M4,Va
Truechou EH-O b47-3,Truechou EH-O b47-3 B,Star,M,2261.0,277240608.0,10.903458,0.257813,M8,Va
Truechou SL-L c21-41,Truechou SL-L c21-41 A,Star,K,3864.0,510651680.0,7.248901,0.546875,K8,Va
Truechou SL-L c21-41,Truechou SL-L c21-41 C,Star,M,2383.0,317737856.0,10.379059,0.265625,M7,Va
Truechou SL-L c21-41,Truechou SL-L c21-41 D,Star,M,2544.0,284902848.0,10.331955,0.253906,M6,Va
Truechou SL-L c21-41,Truechou SL-L c21-41 B,Star,M,2673.0,294921024.0,10.042023,0.265625,M6,Va
Truechou OF-N c20-37,Truechou OF-N c20-37 A,Star,K,4776.0,580227136.0,6.050995,0.839844,K2,Va
Truechou OF-N c20-37,Truechou OF-N c20-37 B,Star,K,3713.0,530136192.0,7.340729,0.585938,K9,Va
Truechou OF-N c20-37,Truechou OF-N c20-37 C,Star,M,3015.0,376955552.0,8.985977,0.324219,M4,Va
Truechou LR-H b37-2,Truechou LR-H b37-2 A,Star,M,2915.0,299144800.0,9.634644,0.292969,M4,Va
Truechou LR-H b37-2,Truechou LR-H b37-2 B,Star,L,1646.0,200830704.0,12.982834,0.128906,L5,V
Truechou LR-H b37-2,Truechou LR-H b37-2 C,Star,M,2819.0,299463168.0,9.777817,0.277344,M5,Va
Truechou VS-O b33-11,Truechou VS-O b33-11 A,Star,M,3204.0,391473440.0,8.639786,0.382813,M2,Va
Truechou VS-O b33-11,Truechou VS-O b33-11 B,Star,M,2565.0,303984064.0,10.155441,0.269531,M6,Va
Truechou JA-U b30-13,Truechou JA-U b30-13,Star,M,2597.0,355857920.0,9.759384,0.324219,M6,Va
Truechou TB-B b27-19,Truechou TB-B b27-19,Star,M,3165.0,346306688.0,8.959229,0.351563,M3,Va
Truechou DD-I b23-2,Truechou DD-I b23-2 A,Star,K,3818.0,415224160.0,7.750229,0.445313,K9,Va
Truechou DD-I b23-2,Truechou DD-I b23-2 B,Star,M,2154.0,256843424.0,11.280029,0.183594,M9,VI
Truechou QK-N b20-13,Truechou QK-N b20-13 A,Star,M,2195.0,238780944.0,11.356552,0.199219,M8,Va
Truechou QK-N b20-13,Truechou QK-N b20-13 B,Star,L,1889.0,208132096.0,12.307129,0.152344,L1,V
Truechou ZL-U b16-14,Truechou ZL-U b16-14 A,Star,M,3343.0,388459488.0,8.472076,0.390625,M2,Va
Truechou ZL-U b16-14,Truechou ZL-U b16-14 D,Star,L,1768.0,234557200.0,12.335098,0.164063,L3,V
Truechou ZL-U b16-14,Truechou ZL-U b16-14 C,Star,L,1904.0,226428032.0,12.089752,0.152344,L1,V
Truechou ZL-U b16-14,Truechou ZL-U b16-14 B,Star,L,1314.0,152841040.0,14.55452,0.09375,L9,V
Truechou JN-B b13-14,Truechou JN-B b13-14 A,Star,M,2309.0,274757280.0,10.831757,0.222656,M8,Va
Truechou JN-B b13-14,Truechou JN-B b13-14 B,Star,L,1944.0,212971408.0,12.132523,0.164063,L0,V
Truechou TO-I b9-3,Truechou TO-I b9-3,Star,M,2807.0,338814272.0,9.528198,0.3125,M5,Va
Truechou HW-N b6-6,Truechou HW-N b6-6 A,Star,M,2348.0,282950144.0,10.69516,0.261719,M7,Va
Truechou HW-N b6-6,Truechou HW-N b6-6 B,Star,L,1380.0,192043568.0,13.845703,0.113281,L8,V
Truechou HW-N b6-6,Truechou HW-N b6-6 C,Star,L,1702.0,214287328.0,12.69664,0.132813,L4,V
Truechou RX-U b2-12,Truechou RX-U b2-12 A,Star,M,3267.0,398010720.0,8.519241,0.414063,M2,Va
Smootoae ZX-S b58-1,Smootoae ZX-S b58-1,Star,M,2956.0,371288480.0,9.104721,0.335938,M4,Va
Smootoae LK-Y b55-5,Smootoae LK-Y b55-5 A,Star,M,2215.0,255633600.0,11.169067,0.222656,M8,Va
Smootoae UL-F b52-2,Smootoae UL-F b52-2 A,Star,M,3444.0,376467360.0,8.410873,0.386719,M1,Va
Smootoae UL-F b52-2,Smootoae UL-F b52-2 B,Star,M,2543.0,303028960.0,10.199692,0.25,M6,Va
Smootoae EN-M b48-12,Smootoae EN-M b48-12,Star,M,3243.0,421612896.0,8.426147,0.394531,M2,Va
Smootoae UR-J c22-56,Smootoae UR-J c22-56 A,Star,K,4129.0,473083456.0,7.126709,0.574219,K7,Va
Smootoae UR-J c22-56,Smootoae UR-J c22-56 B,Star,M,2956.0,385551648.0,9.022858,0.359375,M4,Va
Smootoae UR-J c22-56,Smootoae UR-J c22-56 C,Star,K,3799.0,457567968.0,7.561005,0.464844,K9,Va
Smootoae DR-Y b41-7,Smootoae DR-Y b41-7 A,Star,M,2642.0,314129600.0,9.955658,0.304688,M6,Va
Smootoae DR-Y b41-7,Smootoae DR-Y b41-7 C,Star,T,925.0,108502064.0,16.823593,0.046875,T6,V
Smootoae DR-Y b41-7,Smootoae DR-Y b41-7 B,Star,L,1635.0,194059952.0,13.086456,0.125,L5,V
Smootoae NS-F b38-8,Smootoae NS-F b38-8,Star,M,3112.0,348981024.0,9.0159,0.359375,M3,Va
Smootoae AA-L b35-10,Smootoae AA-L b35-10 A,Star,M,3073.0,397055616.0,8.79039,0.398438,M3,Va
Smootoae AA-L b35-10,Smootoae AA-L b35-10 B,Star,L,1733.0,196267344.0,12.809021,0.128906,L3,V
Smootoae AA-L b35-10,Smootoae AA-L b35-10 C,Star,L,1478.0,182598448.0,13.657196,0.125,L7,V
Smootoae MM-Q b32-16,Smootoae MM-Q b32-16,Star,M,3093.0,352759072.0,9.019119,0.359375,M3,Va
Smootoae OU-X c14-22,Smootoae OU-X c14-22,Star,K,3876.0,471279328.0,7.409714,0.476563,K8,Va
Smootoae GI-B c13-56,Smootoae GI-B c13-56 A,Star,K,4625.0,592686208.0,6.144379,0.855469,K3,Va
Smootoae ZK-P d5-210,Smootoae ZK-P d5-210 A,Star,G,5582.0,684632768.0,5.014191,1.035156,G5,Vab
Smootoae JZ-O b19-3,Smootoae JZ-O b19-3 A,Star,M,2730.0,352674176.0,9.561935,0.300781,M5,Va
Smootoae JT-Z b13-14,Smootoae JT-Z b13-14 A,Star,M,2409.0,281167232.0,10.597473,0.234375,M7,Va
Smootoae TU-G b10-5,Smootoae TU-G b10-5,Star,M,2445.0,298147200.0,10.405685,0.226563,M7,Va
Smootoae JX-L b7-14,Smootoae JX-L b7-14,Star,M,2244.0,308038048.0,10.707443,0.25,M8,Va
Smootoae TY-S b3-10,Smootoae TY-S b3-10 A,Star,M,3177.0,429041632.0,8.477509,0.441406,M3,Va
Smootoae TY-S b3-10,Smootoae TY-S b3-10 B,Star,L,1671.0,184636048.0,13.09996,0.132813,L4,V
Smootoae TY-S b3-10,Smootoae TY-S b3-10 C,Star,M,2878.0,347558944.0,9.364334,0.304688,M4,Va
Smootoae TY-S b3-10,Smootoae TY-S b3-10 D,Star,L,1925.0,201891952.0,12.291214,0.152344,L1,V
Smootoae AA-A d15,Smootoae AA-A d15 A,Star,G,5632.0,737673984.0,4.813309,0.996094,G4,Vab
Smootoae AA-A d15,Smootoae AA-A d15 B,Star,K,3896.0,511840256.0,7.208008,0.566406,K8,Va
Smootoae AA-A d15,Smootoae AA-A d15 C,Star,M,2846.0,393977984.0,9.14064,0.375,M5,Va
Plaa Briae ML-W b56-5,Plaa Briae ML-W b56-5,Star,M,2953.0,372158688.0,9.10405,0.363281,M4,Va
Plaa Briae XM-D b53-4,Plaa Briae XM-D b53-4 A,Star,M,3601.0,376849408.0,8.215057,0.433594,M0,Va
